2.50,Anschluss,Substantiv,"der Anschluss, -̈e",chuyến tiếp / kết nối,Sie haben Anschluss nach Kamm mit dem Intercity um neun Uhr achtundfünfzig ab Gleis drei.,Bạn có chuyến tiếp đi Kamm bằng Intercity lúc 9 giờ 58 từ ke số 3.,Verkehr,B1;DTZ;Verkehr,
2.50,Ansage,Substantiv,"die Ansage, -n","thông báo (loa, đài)",In der Ansage steht die Abfahrtszeit.,Trong thông báo có ghi giờ khởi hành.,Verkehr,B1;DTZ;Verkehr,
2.50,planmäßig,Adjektiv,,đúng kế hoạch / theo lịch,Das ist die planmäßige Ankunftszeit am Hauptbahnhof.,Đó là giờ đến theo lịch ở ga chính.,Verkehr,B1;DTZ;Verkehr,
2.50,Abfahrtszeit,Substantiv,"die Abfahrtszeit, -en",giờ khởi hành,Die Abfahrtszeit für den Anschluss nach Kamm steht im Plan.,Giờ khởi hành chuyến tiếp đi Kamm có trong lịch.,Verkehr,B1;DTZ;Verkehr,
2.50,Gleis,Substantiv,"das Gleis, -e",ke tàu / đường ray,Der Zug fährt ab Gleis drei.,Tàu chạy từ ke số 3.,Verkehr,B1;DTZ;Verkehr,
2.50,Regionalbahn,Substantiv,"die Regionalbahn, -en",tàu địa phương,Die Regionalbahn nach Gemünden fährt um 10:00 Uhr.,Tàu địa phương đi Gemünden chạy lúc 10 giờ.,Verkehr,B1;DTZ;Verkehr,
2.51,Wunschkonzert,Substantiv,"das Wunschkonzert, -e",chương trình nhạc yêu cầu,Auf NRW 3 können Sie das Wunschkonzert hören.,Trên NRW 3 bạn có thể nghe chương trình nhạc theo yêu cầu.,Freizeit,B1;DTZ;Freizeit,
2.51,Hörspiel,Substantiv,"das Hörspiel, -e",kịch truyền thanh,Auf NRW 2 läuft ein Hörspiel-Krimi.,Trên NRW 2 đang phát một vở kịch truyền thanh hình sự.,Freizeit,B1;DTZ;Freizeit,
2.51,ausstrahlen,Verb,strahlte aus - hat ausgestrahlt,phát sóng,Auf NRW 2 wird ein Hörspiel-Krimi ausgestrahlt.,Trên NRW 2 phát sóng một kịch truyền thanh.,Freizeit,B1;DTZ;Freizeit,
2.51,Dokumentation,Substantiv,"die Dokumentation, -en",phim tài liệu,Eine Dokumentation über die Bundesregierung läuft auf NRW 5.,Một phim tài liệu về chính phủ liên bang phát trên NRW 5.,Freizeit,B1;DTZ;Freizeit,
2.51,Bundesregierung,Substantiv,"die Bundesregierung, -en",chính phủ liên bang,Die Arbeit der Bundesregierung wird dokumentiert.,Hoạt động của chính phủ liên bang được ghi lại.,Gesellschaft,B1;DTZ;Gesellschaft,
2.52,Einnahme,Substantiv,"die Einnahme, -n",việc dùng (thuốc) / sử dụng,Es gibt Anweisungen für die Einnahme von Schlafpil.,Có hướng dẫn cho việc dùng Schlafpil.,Gesundheit,B1;DTZ;Gesundheit,
