id,wort,wortart,formen,bedeutung,beispiel,uebersetzung,thema,lerndatum,level,quelle,source_type,tags,notes,parent_id,form_type
VOC-20260518-001,Entwicklung,Substantiv,"die Entwicklung, -en",sự phát triển,Technologische Entwicklungen verändern die Welt.,Những phát triển công nghệ thay đổi thế giới.,Technologie,2026-05-18,1,SRC-001,tutor,B1;DTZ;Technologie,
VOC-20260518-002,Einfluss,Substantiv,"der Einfluss, -üsse",sự ảnh hưởng,Diese Erfindung hat großen Einfluss auf die Gesellschaft.,Phát minh này có ảnh hưởng lớn đến xã hội.,Technologie,2026-05-18,1,SRC-001,tutor,B1;DTZ;Technologie,Cấu trúc cố định: Einfluss auf + Akk.
VOC-20260518-003,Gesellschaft,Substantiv,"die Gesellschaft, -en",xã hội,Die Digitalisierung verändert unsere Gesellschaft grundlegend.,Sự số hóa thay đổi xã hội chúng ta một cách căn bản.,Gesellschaft,2026-05-18,1,SRC-001,tutor,B1;DTZ;Gesellschaft,
VOC-20260518-004,Fortschritt,Substantiv,"der Fortschritt, -e",sự tiến bộ,Die Medizin macht große Fortschritte.,Y học có những bước tiến lớn.,Technologie,2026-05-18,1,SRC-001,tutor,B1;DTZ;Technologie,
VOC-20260518-005,ethisch,Adjektiv,,có đạo đức,Künstliche Intelligenz sollte ethisch gestaltet werden.,AI nên được định hình một cách có đạo đức.,Ethik,2026-05-18,1,SRC-001,tutor,B1;DTZ;Ethik,
VOC-20260518-006,gestalten,Verb,gestaltete - hat gestaltet,"định hình, thiết kế",Wir müssen die Zukunft aktiv gestalten.,Chúng ta phải chủ động định hình tương lai.,Technologie,2026-05-18,1,SRC-001,tutor,B1;DTZ;Technologie,Hay xuất hiện Passiv với Modalverb (sollte gestaltet werden)
VOC-20260518-007,Generation,Substantiv,"die Generation, -en",thế hệ,Jede Generation hat ihre eigenen Herausforderungen.,Mỗi thế hệ đều có những thách thức riêng.,Familie,2026-05-18,1,SRC-001,tutor,B1;DTZ;Familie,
VOC-20260518-008,Aspekt,Substantiv,"der Aspekt, -e",khía cạnh,Wir müssen alle Aspekte des Plans berücksichtigen.,Chúng ta phải xem xét mọi khía cạnh của kế hoạch.,general,2026-05-18,1,SRC-001,tutor,B1;DTZ;general,
VOC-20260518-009,erkennen,Verb,erkannte - hat erkannt,nhận ra,Ich habe das Problem sofort erkannt.,Tôi đã nhận ra vấn đề ngay lập tức.,general,2026-05-18,1,SRC-001,tutor,B1;DTZ;general,Phân biệt với 'wissen' (biết) và 'kennen' (quen biết)
VOC-20260518-010,anpassen,Verb,passte an - hat angepasst,thích nghi (reflexiv),Ich muss mich an das neue Klima anpassen.,Tôi phải thích nghi với khí hậu mới.,Arbeit,2026-05-18,1,SRC-001,tutor,B1;DTZ;Arbeit;trennbar;reflexiv,Cấu trúc: sich an + Akk. anpassen
